id,time,text,plus,minus
47,2025/10/16(木) 16:44:36,男は自殺して自ら短くしてるってことは…,2,1
48,2025/10/16(木) 16:44:37,"身体の違いと言いたいけど
これに関しては男女が同じだけ働いてる社会じゃないと何とも言えない
正直働くのと働かないのではかかるストレスが段違いだと思うし
今の高齢世代は女性は働いてなかったからなおさら",9,1
49,2025/10/16(木) 16:44:45,">>1
代謝の違いとか？男性のほうが体の消耗が早そう",0,0
50,2025/10/16(木) 16:45:01,これからはどうかわからないよ。,3,0
51,2025/10/16(木) 16:45:12,昔ホンマでっかTVで「家事をしてるから長生き」って言われてた気がする,3,1
52,2025/10/16(木) 16:45:45,"仕事も家事もこなせて万能型だからじゃないだろうか
そして男よりも度胸あるので少々のことでクヨクヨしない",0,1
53,2025/10/16(木) 16:45:46,"女性は生理があるから周期やホルモンバランスなどに振り回されるので、日々自分の身体の調子に気を使って生活するからだと思うよ
若い頃からの積み重ねだね。",4,0
54,2025/10/16(木) 16:45:47,"不思議だよねー
特に出産育児では、長いと半年以上吐いたりろくに食べられないつわりがあり、出産では大ダメージを負い、その後はろくに眠れない日々が数年
これでなんで寿命縮まないのか",5,0
55,2025/10/16(木) 16:46:00,">>40
関東大震災があったり、スペイン風邪があったりしたからみたいだよ",7,0
56,2025/10/16(木) 16:46:08,">>40
戦争で亡くなる人が多かったんじゃない？
中には子どもや赤ちゃんもいただろうし",9,0
57,2025/10/16(木) 16:46:18,">>1
近所に友達が多いかららしいよ",2,0
58,2025/10/16(木) 16:46:25,">>1
わりと真面目に、｢生理｣というものがあるからだと思います。",3,0
59,2025/10/16(木) 16:46:27,">>44
それそれ
最近読んだ本はそう書いてあった",2,0
60,2025/10/16(木) 16:46:27,">>22
他の哺乳類もそうなのかな",1,0
61,2025/10/16(木) 16:46:39,赤ちゃんの時から女の子の方が強いもんね,5,0
62,2025/10/16(木) 16:47:01,">>39
性別で長生きかより、絶対生きてる時の生活が寿命に強く関係しそうだから、不摂生してお酒浴びるように飲んでたら夫より早くなるかもよ",4,0
63,2025/10/16(木) 16:47:46,喫煙率と飲酒率は関係ありそうな気する,1,0
64,2025/10/16(木) 16:48:12,"医者の友人によると、突然死(心臓や脳関係？)はほとんど男性なんだって
家族が入ってる介護施設も女性ばかり
呆けても臥せっても身体は長らえてしまう",5,2
65,2025/10/16(木) 16:48:59,">>13
仕事してる子持ちだけど、家では家事育児して、フルタイム正社員で働いてる私は多分早死にするわ。",7,0
66,2025/10/16(木) 16:49:07,"無茶しないから
妊娠した時に子どもを守るために無茶しない、100%出力しない仕様になってると聞いたよ",3,0
67,2025/10/16(木) 16:49:37,"今80そこらの高齢男性って24時間働けますかの相当命削って働いてた時代だしね
逆に女性は専業主婦が多かった時代でもあるし
そこが変わってどうなるかは気になるよね",5,1
68,2025/10/16(木) 16:49:38,">>1
閉経前の女性ホルモンが出て病気になりにくい期間分が男性の平均の生活習慣病気発症年齢にプラスされてると思ってる
男性にガタがくる年齢が35歳て女性の閉経年齢が50歳としたら15歳ぶん長生き",2,0
69,2025/10/16(木) 16:49:43,男って少ないよね。,0,0
70,2025/10/16(木) 16:49:56,">>48
うちの伯母、叔母達、定年まで公務員と正社員で働いていたけど80〜90で健在。
長生き家系なだけかも。",0,0
71,2025/10/16(木) 16:50:21,">>25
うそ？",0,0
72,2025/10/16(木) 16:50:29,"男女共に死因１位は悪性新生物
男性の方が数万人多い
ストレス、酒、タバコはかなりダメージあると思う",0,0
73,2025/10/16(木) 16:51:01,"生理あるからだって言ってた。
女性ホルモンが病気になりにくくしてくれてるとかなんとか",1,0
74,2025/10/16(木) 16:51:19,">>4
女性同士は些細なことで
コミュニケーションとれるってのはデカいよね。
男同士は仕事とか
目的がないと会話が弾まない
だから黙ってる事が多い。
だからボケも早い",1,0
75,2025/10/16(木) 16:51:56,生物学的なホルモン量で男性のが、心筋梗塞、脳卒中、動脈硬化とかしやすいのよ,2,0
76,2025/10/16(木) 16:52:01,">>7
女性の方が底辺職で、ストレス半端ないと思うよ
男性はストレスあっても、それなりにお金貰えるから",4,4
77,2025/10/16(木) 16:52:01,">>1
子供育てるからでしょ",0,0
78,2025/10/16(木) 16:52:03,普通に遺伝子と体質だと思う,0,0
79,2025/10/16(木) 16:52:04,今の世代は共働きが主体でストレス社会に晒されてるから女の人も寿命縮んでそうだよ,3,0
80,2025/10/16(木) 16:52:26,">>64
え〜、突然◯ってほとんど男なの？
狙ってたんだけどなぁ…
突然◯で家族を亡くした人には申し訳無いけれど、突然◯って理想的な◯に方だと思う
苦しまず、誰にも迷惑かけずに◯ねるんだから",0,0
81,2025/10/16(木) 16:52:51,孤立する人が男性より少ない,0,0
82,2025/10/16(木) 16:53:11,">>18
ガルではマイナスだろうけど実際そうだと思う",4,2
83,2025/10/16(木) 16:53:14,">>24
男性って体調の悪い時も「自分の好きなものを食べれば元気になる」と思ってコッテコテの食事食べたりする人わりといるよね。女性はそういう時胃に優しい物とか消化にいい物とかを考えるけど。健康の概念がなんか違うなと感じる時が割とある。もちろん男も女も全員がそうだとは思わないけど。",6,0
84,2025/10/16(木) 16:53:44,">>1
人間の雌は生殖能力を失っても長生き出来る数少ない動物",0,0
85,2025/10/16(木) 16:54:09,ヤニカスが少ない,0,0
86,2025/10/16(木) 16:54:49,">>14
戦国生まれでも８０歳代まで生きた人ちらほらいるし、大病さえしなければ死なないんだろうね",4,0
87,2025/10/16(木) 16:55:15,"そりゃそうだ
女も正社員が増えたら平均寿命下がるね",1,1
88,2025/10/16(木) 16:55:30,"健康でいるための知識が豊富だし
実践する行動力もあるから",0,0
89,2025/10/16(木) 16:56:12,孫の世話するためって研究結果出てなかった？,0,0
90,2025/10/16(木) 16:56:27,">>65
さんみたいな女性って増えてきてるから、少しずつ女性の平均寿命は短くなる可能性もあるかもね
だってどう考えても仕事家事育児その他諸々ってしんどい
365日小刻みなマルチタスクと責任に追われてる",8,0
91,2025/10/16(木) 16:56:34,産休があるから・男は戦死する,0,0
92,2025/10/16(木) 16:56:56,"洋梨体型は心臓が老化しにくいらしいよ
洋梨体型は女性ホルモンが関係してるから男性にはほぼいない
女性の方が長生きなのは女性ホルモンも影響してそうだなと
女性の「洋ナシ型肥満」は老化を防ぐ？イギリスの最新研究でわかった心臓への影響 | ヘルスデーニュース | ダイヤモンド・オンライン
diamond.jp
英インペリアル・カレッジ・ロンドン（ICL）のDeclan O’Regan氏らの研究結果で、脂肪の分布と心臓年齢との関連に、男性と女性の間で差が存在することも示唆された。例えば男性では、いわゆる“リンゴ型肥満”と呼ばれるようなお腹周りへの脂肪の分布が、心臓の老化と強...",1,1
93,2025/10/16(木) 16:56:57,"料理をするから認知症になりにくい。
男で既婚者は何も家事をしない人が多いから。",0,0
94,2025/10/16(木) 16:57:15,">>83
うちの夫がそれ
お腹に来る風邪ひいた時「何か食べられそうな物ある？お粥とか作ろうか？」って声かけたら「唐揚げ」って
「どうせ何を食べても下るんだから、好きな物食べたい」って
体に負担かけてどうする、と思ってチキンコンソメで味付けしたリゾットを出したよ",0,0
95,2025/10/16(木) 16:57:18,">>22
赤ちゃん時代も男の子の方が弱いと言われてるよね
だから生まれてくる男女比は105:100になると
性染色体で女性はxxだから強く安定しやすいとかあるのかな",3,0
96,2025/10/16(木) 16:57:37,"・体調の変化に敏感
→それに合った食事を取ることができる(夫は出されるだけ)
・家事で体も頭も使う",0,0
97,2025/10/16(木) 16:58:22,">>1
男と女で健康管理の意識が全然違うと思う。うちの旦那そこそこ家事するけど明らかに寒いのに半袖とペラペラの布団で寝て風邪ひいたり、一人暮らししてた時はほぼ野菜食べずにサプリで全部補えてると思い込んでた。
男性は基本的に自分の力を過信しがち。",2,0
98,2025/10/16(木) 16:58:43,">>33
よこ、水分もかな",0,0
99,2025/10/16(木) 16:59:04,">>34
前提が真逆だし、いい加減な持論をそれっぽくしちゃいかんよ。ガル民なら根拠なく信じると思ったのかもだけど。
世界全体の平均寿命は
男性が70.8歳、女性が75.9歳。
※ 2023年版世界保健統計（WHO）",1,0
100,2025/10/16(木) 16:59:20,"ストレスを吐き出すのが男より上手だからというのもありそう。
この前、順番待ちをしていた私にジジイから譲れと言われた直後
そのジジイの妻らしき老婦人が即座に叱りつけてたのを見て
これだけストレスを溜めないから、ご長寿なのかなと思いました。",0,0
101,2025/10/16(木) 16:59:28,女性のほうがコミュニケーション能力があったり、自炊能力が高いとか？,1,0
102,2025/10/16(木) 16:59:57,">>1
生物学的言われているのは、
息子より娘を持つ母だと言われている。
その理由として、娘が胎児のときにすでに、娘の胎内には卵子が作られてる。つまり妊娠中既に孫の素も育ててることになるからだって。",2,0
103,2025/10/16(木) 17:00:01,">>83
料理なんかほとんどやらないしやってもやたら味付け濃いし。うちの父親も野菜嫌いで野菜料理出されると好きなもん食わせろみたいにブチキレたよ。60代で胃癌になった。",0,0
104,2025/10/16(木) 17:00:38,赤ちゃんの頃から男の子は病気にかかりやすいみたいね。小児科医の友達が「風邪ひきやすいのもこじらせるのも男の子の方が圧倒的に多い」って言ってた。,3,0
105,2025/10/16(木) 17:00:42,生物の基本で生命力があるから,0,0
106,2025/10/16(木) 17:01:24,">>6
会社にいる時間が長いだけでたいして働いてない男なんていっぱいいる",10,0
107,2025/10/16(木) 17:02:08,"このグラフを見た感じ、健康管理をちゃんとするかしないかの差だと思う。
配偶者任せなのが、なんか腹立つけどw",0,0
108,2025/10/16(木) 17:02:39,">>100
モラハラに萎縮してたり洗脳下にありそうなのに、夫を叱る事が出来るのは珍しいパターンの奥さんだね",1,0
109,2025/10/16(木) 17:02:50,"男って1人で生きていけないじゃん
生まれてからずっと誰かに世話してもらってるし
自分の事すら自分でしない、そりゃ死ぬわな",4,0
110,2025/10/16(木) 17:04:20,">>1
働く時間が短いから",0,1
111,2025/10/16(木) 17:06:12,">>1
そもそも男性ホルモンが体に悪い",2,0
112,2025/10/16(木) 17:06:15,">>1
通ってる鍼の先生が、生理があるからって説があるって言ってたよ。
古い血を出して血液循環させるデトックス的な効果があるから、それを月一で定期的に行うっていうのは実は身体に良いんだって。
鍼灸の治療法で、症状によっては患部をちょっと切って出血させるやり方があるらしいんだけど、これは血の気が多すぎて（要は古い血が溜まって循環が滞ってるから）身体に悪影響を与えてるから、抜くと治りが早くなるっていう東洋医学の考え方なんだって。出血はさせないけどカッピングも原理は同じらしい。
生理ってそれをナチュラルにやってるから女性の方が寿命が長いんじゃないかって考えられてるんだってさ。",2,1
113,2025/10/16(木) 17:07:11,"妊娠で退職して以来、ずっと専業主婦
コミュ障だから人と関わらない、だから対人関係のストレス０
太るのは嫌だからそれなりに運動したり体型はキープしている
夫の会社の健康保険がうるさいから毎年健康診断受けてるけれど特に問題なし
家族がいるから、どうしても栄養バランスのとれた食事を作ってしまう
私、もしかして長生きしちゃう？",3,0
114,2025/10/16(木) 17:08:53,女性は基本的にまじめなんだよね。医者の注意破って隠れてタバコ吸うとか甘い物食べるとかするのってだいたいオジ&爺だって看護師が言ってた,3,1
115,2025/10/16(木) 17:10:26,">>30
早くに亡くなる方を除いたら、女性の平均寿命は
92.3歳らしいよ
確かにまわりでも90歳くらいはざらにいるな",1,0
116,2025/10/16(木) 17:10:26,染色体が XX で安定しやすいから。男は XY だから。また女は妊娠 出産 育児があるから生命力が強いように もともと作られている,1,0
117,2025/10/16(木) 17:11:37,">>112
自己レス
切るのは患部じゃなくて指先だった（あんまり痛くない場所らしい）。
患部に効くツボを刺激してさらに指先からちょっと血を抜くと治りが早くなるって話だった。",0,1
118,2025/10/16(木) 17:11:54,">>49
男性の方が筋肉が多い分代謝が激しく体重当たりの酸素の消費量、心拍数も多い。チョロチョロ活動するネズミよりゆったり生きる象が長生きなのと同じ理由。
体内に活性酸素(呼吸して酸素を体内に取り込むことで生じる悪い物質)ができにくい。",0,0
119,2025/10/16(木) 17:11:56,"男って群れて連んでの生き物だと思う
仲間が減ってくと孤独で暇でつまんなくてだと思う
女は仲間がいてもしっかり線引きしてる",0,0
120,2025/10/16(木) 17:11:57,">>6
専業主婦が当たり前だった時代の人はそれだよね。旦那は24時間働けますかで生きてて、嫁は家電揃ってる中で専業主婦。体の負担少ない嫁のほうが断然長生きするの当たり前。",6,3
121,2025/10/16(木) 17:12:15,"うちはおばあちゃんの方がだいぶ早くボケて死んじゃったよ
人によるからそんな気にしなくてもいいんじゃない",0,1
122,2025/10/16(木) 17:12:18,"施設で働いてるけど圧倒的に女の方が明るいしポジティブ
でかい声でガッハッハーって笑ってるわ",5,0
123,2025/10/16(木) 17:13:37,働いて、子供育てて、家事して、介護して…これからは女性も短くなるよね,0,0
124,2025/10/16(木) 17:13:46,">>10
多分、女性の方が環境の変化に対応しやすく出来てるんだと思う",3,0
125,2025/10/16(木) 17:14:02,">>112
これはきいたことある
血のデトックス",0,0
126,2025/10/16(木) 17:14:04,"平均寿命は女性の方が長いけど女性ばかり長生きしてるわけじゃない。
男の方が女より子供時代や若い頃に危険な行動して事故死してるのも一因",1,0
127,2025/10/16(木) 17:14:04,健康管理能力がダントツで違うもん。男は好きなもの好きなだけ食って飲んでる,2,0
128,2025/10/16(木) 17:14:14,">>121
一般的な話",1,0
129,2025/10/16(木) 17:15:34,">>1
ほとんどの動物がオスよりメスの方が長生きらしいから、遺伝的なものなんだろうね",1,0
130,2025/10/16(木) 17:15:43,"男性は妻に先立たれると
本当に心弱くなるからね
逆だと女性は辛くても立ち直れる",1,0
131,2025/10/16(木) 17:16:19,">>10
誰かを深く愛した経験をしていると孤独に強いと聞く。
愛されたい愛されたいと求める人は、自分がまだ深く誰も愛してないから満たされないとのこと。
とくに女性は子供や孫に対する愛情がある。",0,0
132,2025/10/16(木) 17:16:54,台風とか災害時に、川や海を見に行ってしまうのは年配の男性が多い。,2,0
133,2025/10/16(木) 17:17:47,女性ホルモンのせいじゃなかった？,2,0
134,2025/10/16(木) 17:18:17,">>22
生理で定期的に血を出して新しいものに作り変えられるのが大きいのかなと思ってた！男の人は献血で代用できそうだよね",0,0
135,2025/10/16(木) 17:18:46,"男の子のほうが幼い頃に亡くなる確率が高いから平均寿命を短くしてるだけだよ。
男女に寿命の差はない",1,0
136,2025/10/16(木) 17:18:51,">>1
女って低収入なのに無駄に長生きで本当に価値が無い",0,2
137,2025/10/16(木) 17:18:53,">>106
会社の男のほとんどは役に立っていない",4,0
138,2025/10/16(木) 17:19:54,">>1
xxで安定してるからだよ",0,0
139,2025/10/16(木) 17:20:23,">>2
じゃあこれからは逆転する可能性あるって事かな",1,2
140,2025/10/16(木) 17:21:38,"やたら男性みたいにソースとか醤油をドバドバかけないからかな？
何であんな必要以上にかけるんだろう…
あとは男性と比べて何かしら趣味があったり友達がいて楽しそうにしてる人多い気がする",0,0
141,2025/10/16(木) 17:23:11,"義父が亡くなったあと一人暮らしの義母がイッキイキしてて長生きするのわかる
逆だったら義父はあんなに元気ないだろうしまず毎日の食事からどうする？となる",0,0
142,2025/10/16(木) 17:23:32,遭難した時とか無駄に歩き回って体力消費して死ぬのが男、じっと救助待ってるのが女と聞いた。男は使役される性、労働の為に生まれたからある程度したら死ぬのでは。,1,0
143,2025/10/16(木) 17:24:10,">>3
胎児は始めは全員女性。
妊娠4ヶ月の時に母体から性ホルモンのシャワーが出て男性に変わる人がいる。
女性の身体をカスタマイズして男に作り変えるので、男性の方が生物として弱いらしい。",1,4
144,2025/10/16(木) 17:24:17,">>1
座りっぱなしは身体に良かないから男性の場合は定年退職すると家でゴロゴロしてるイメージ。女性は常に家事で動いてる",1,0
145,2025/10/16(木) 17:26:07,そういう作りだから、細胞レベルで違うんじゃないかな？,0,0
146,2025/10/16(木) 17:26:38,">>6
日本の男は定年後ひまになってもろくに家事やらない",1,0
147,2025/10/16(木) 17:26:43,">>1
そりゃ男に辛い役回りばかりさせて楽してるからだよ。",0,2
148,2025/10/16(木) 17:27:08,">>1
外国人の多い職場にいたけど日本人のオバチャンも外国人のオバチャンも賑やかだからコミュ力の問題もあるのかな。日本人の男は大人しすぎる",0,0
149,2025/10/16(木) 17:28:25,衛生観念と食生活かな。勿論ちゃんとした人もいるけど男性の方が雑な人多いし。うちの旦那もほっといたらそうめん（薬味なし）みたいなのばっかり食べるし。,1,0
150,2025/10/16(木) 17:31:56,">>14
この中の何割くらいがピンピンコロリなんだろう。
寝たきりになって無理くり生命維持した人を引いた数字も見たいね。",1,0
151,2025/10/16(木) 17:32:18,">>18
同意。
何なら力仕事、危険な仕事は基本的に男性がやらされるし何かと責任問うれるのも男性だし仕事は人間関係があるからね。
共働きが増えたと言っても女性は扶養内パートが大半だからね。",4,1
152,2025/10/16(木) 17:33:13,"女の方が鈍感力があるから。
子供を産む可能性のある性に生まれた側だから。
子供を産んでなくても。",2,0
153,2025/10/16(木) 17:33:58,">>3
子供を産むために元々体が強く出来てると聞いた。腕力とかではなく。精神力も強いと思う。特に母親。母は強しというくらい。",5,2
154,2025/10/16(木) 17:35:42,">>5
何でこんなマイナス多いの！？
女性ホルモンのおかげで動脈硬化防いで脳卒中や心臓病もなりにくいのに",11,0
155,2025/10/16(木) 17:36:15,">>3
男児は体弱いって言うしね",6,1
156,2025/10/16(木) 17:37:44,">>1
男は暴飲暴食したり身の回りを健康清潔に保つ努力ができないアホが多い
危険なことをやりたがったり命を粗末にする輩もいる",1,0
157,2025/10/16(木) 17:37:51,">>25
この頃の平均寿命は若く◯ぬ人が多かっただけだと思うが",2,0
158,2025/10/16(木) 17:39:06,">>2
>>8
>>10
>>12
>>18
みなさん色々言ってるけど、これに関してはシンプルに身体の作りが違うからだよ。女性はX染色体を2つ持ってて、細胞の修復とか病気に強い遺伝子がバックアップされてる。しかし男性は1つだからそれらのリスク高い。
あと
>>6
さんも言ってるように女はエストロゲンってホルモンがあって、これが細胞や血管を守って活性酸素から体を守ってくれる。活性酸素ってのは体の錆びみたいなもので、これが多いと老化が進む。
そして男性は筋肉が女性より多いから、同じ行動をしてても女性より多くの酸素とエネルギーを吸収する。その酸素が活性酸素となり早く細胞ボロボロにする説や、男性の脳の方が女性より1.4倍老化が早いっていう研究もある。
まあ簡単に言えば、女性はは長持ち仕様で男性は短期決戦仕様ってことだね。",8,4
159,2025/10/16(木) 17:39:11,">>154
がる子の平均知能だとそんなものだよ
エストロゲン自体何のことか知らない人も少なくなさそう",3,0
160,2025/10/16(木) 17:40:09,"食生活でしょ
あと男って掃除もあんまりしないし虫が湧いてる部屋で生活してたり",0,0
161,2025/10/16(木) 17:41:49,"体形や美肌を保つために食事の栄養バランスや摂生をしたりするからだと思ってる。
男性みたいに昼ラーメンばっかり食べない。",0,0
162,2025/10/16(木) 17:41:50,"昔通ってた整体の先生が、男性は働かなきゃいけないから短命な傾向にあるって言ってた。
今は共働き世帯増えて、女性の方が仕事家事育児と負担増えたから、これからは女性の平均寿命が縮むかもしれないよね。",0,0
163,2025/10/16(木) 17:42:07,"女性の方が脂肪の割合いが多いからって聞いたことある
脂肪が多いと何で長生きになるのかまでは知らないけど",0,0
164,2025/10/16(木) 17:42:09,">>40
昭和20年の平均寿命なんてヤバイよ
男性23歳  女性39歳",0,0
165,2025/10/16(木) 17:43:03,">>143
え〜？
染色体で決まってるでしょ？",3,0
166,2025/10/16(木) 17:43:09,男の方が暴飲防止傾向にあるから,0,0
167,2025/10/16(木) 17:44:00,戦に行かないから,0,0
168,2025/10/16(木) 17:44:32,女性が生命力強いから自然なら男児の方が少し多く生まれるんだよね。,0,0
169,2025/10/16(木) 17:46:04,">>154
既に上がってる人が多いからでは？！",1,0
170,2025/10/16(木) 17:46:33,">>159
もうでてない人が多いと見た",0,0
171,2025/10/16(木) 17:46:57,">>112
出産もそうじゃなかったっけ。
でもさ、この頃旦那さんより先に他界する奥さん増えてるような気がする。
男がいたら疲れるんだよ。",0,0
172,2025/10/16(木) 17:49:09,"勘が良いからかな。
危険を察知する能力は男より高めだと思う。",1,0
173,2025/10/16(木) 17:49:28,"不妊治療の話なんだけれど、男の子が生まれる確率が高い受精卵って女の子より胚になる成長が早いっていうデータがあるんだ
だから男の子は成長スピードが速くて老化が速いから寿命が短いのかなって思った",0,0
174,2025/10/16(木) 17:51:11,">>1
小さい頃も男の子の方が病弱って聞いたことある。",0,0
175,2025/10/16(木) 17:51:51,">>158
これ真面目な話受精の時からそう言われてるよね
そういうメカニズムだと",0,0
176,2025/10/16(木) 17:55:59,">>143
性ホルモンのシャワーは母体ではなく、胎児の睾丸から出されてます。この男性ホルモンの影響で男子の母は顔がきつくなると言われてます。",0,0
177,2025/10/16(木) 17:56:54,">>14
むしろこれだけしか差が無いのかという感覚
この時代の男性の若い頃なんて無茶な働き方してる人も少なくないし危険な仕事で若くして亡くなるとかも滅茶苦茶多かった
ストレスも凄いだろうしみんながみんな酒タバコの時代でもあるし
これでこの差なら実際同じように生きれば一緒ぐらいになるんじゃないかという感覚がある",1,0
178,2025/10/16(木) 17:57:08,">>1
女性の染色体はXXで男性はXYだけど、男性の一部（といってもかなりの割合）で加齢によって血液の中のY染色体が失われてしまって、そうすると寿命も短くなるって読んだことがある。
なので男性の全体としての平均寿命は女性のより短かくなるそう。うろ覚えだから真偽も不明だけど。",0,0
179,2025/10/16(木) 17:57:48,">>155
長い生き方で差がつくのは分かるけど
幼い頃から男児は病気しやすいの不思議だね
怪我は活発だからだろうし",1,0
180,2025/10/16(木) 17:58:04,"ご主人が先に亡くなったお婆さんはその後長生きする
奥さんが先に亡くなったお爺さんはその2〜3年後に亡くなる
ことが多いような気がする
一人じゃ何もできないのか、気が抜けるのかわからないけど",0,0
181,2025/10/16(木) 18:03:23,"遺伝子がXxでxが二つあるからじゃない？
弱いところも片方が補ってることによって男より強いのだと思う
子供産んで子育てしないといけないし、母親の代わりのスペアとして孫とかの世話もできるようになってる
虫も動物もメスは子供産むから個体は強いよね",0,0
182,2025/10/16(木) 18:03:29,"女性の方が比較的、やるべき事をきちんとやる傾向があるからじゃない？
何を成功と捉えるかの男女差について、女性は全て満遍なく成功する事を望みがちって聞いた事がある。
仕事も、生活も全部バランス良く成功したいって考えるというか。
仕事110点生活20点よりも、仕事70点生活75点を評価する。
男性は逆のイメージ。
健康ってバランスの良さこそがポイントみたいな部分あるから、そういう意味でも女性は向いてるんじゃないかなと思う。",0,0
183,2025/10/16(木) 18:03:50,普段から健康に気をつける人が多いからとか？,0,0
184,2025/10/16(木) 18:05:03,現代の女性は昔ほど長生きできないと思う。仕事のストレスや貧しい独身者が多いから。,0,0
185,2025/10/16(木) 18:14:05,ヒステリーを持っているからある程度ストレスを発散できると何かに書いてあった,0,0
186,2025/10/16(木) 18:15:38,"昔は「食事(自炊)」と言われてたよね
だから自炊しない女性が増えたら短命になると思われ
男女共同参加とやらで男の子も家庭科やるようになったから今後は寿命伸びるよ",0,0
